id,gen,ht,wt,imb,age,cirw,cirth,cirn
617,1,160,55,21484,35,74,98,34
626,0,178,76,23987,55,90,101,38
627,1,157,67,27182,31,90,106,36
628,1,164,65,24167,53,83,100,37
630,1,164,55,20449,29,72,94,36
629,1,166,55,19959,20,68,94,37
625,1,158,55,22032,27,73,93,32
633,1,162,55,20957,37,77,99,37
634,1,172,54,18253,30,64,90,32
635,1,158,85,34049,48,94,110,37
636,1,158,68,27239,,89,107,35
637,1,158,67,26839,48,82,104,36
638,1,174,69,22790,51,84,104,38
639,1,164,87,32347,49,96,104,41
640,1,175,64,20898,45,76,105,35
641,1,165,76,27916,33,86,110,39
642,1,157,47,19068,36,69,87,32
643,1,160,58,22656,49,77,98,37
644,1,168,68,24093,43,76,98,35
645,1,160,80,31250,54,93,117,39
646,1,163,69,25970,48,80,104,36
647,1,170,79,27336,34,80,103,35
648,1,172,75,25352,28,80,110,38
649,1,154,69,29094,49,90,102,41
650,1,161,57,21990,46,75,95,37
651,1,170,63,21799,42,73,99,39
652,1,156,58,23833,40,72,97,37
653,1,170,93,32180,38,97,120,41
654,1,175,90,29388,35,89,114,38
655,1,166,85,30846,52,101,115,39
656,0,170,81,28028,51,97,95,42
657,1,170,69,23875,42,78,107,36
658,1,166,68,24677,46,81,99,34
659,1,160,58,22656,32,74,95,37
660,1,160,57,22266,41,66,95,32
661,1,164,91,33834,45,104,117,40
662,1,165,89,32691,44,96,110,41
663,1,165,72,26446,40,86,98,35
664,0,0,0,0,0,0,0,0
665,1,166,65,23588,53,79,102,33
666,0,0,0,0,29,0,0,0
667,0,182,68,20529,54,86,96,38
668,1,158,51,20429,19,65,95,34
669,1,162,82,31245,56,102,108,37
670,1,167,82,29402,38,110,116,41
671,1,158,52,20830,51,72,98,34
672,0,176,86,27763,48,109,105,45
673,0,171,79,27017,59,95,105,41
674,1,162,70,26673,32,78,104,34
675,0,185,99,28926,41,110,104,43
676,1,165,78,28650,53,90,117,38
677,1,170,68,23529,47,83,104,37
678,1,161,70,27005,48,85,101,37
679,1,163,69,25970,44,84,99,37
680,1,168,64,22676,48,80,99,34
681,0,180,103,31790,50,114,110,43
682,0,182,92,27774,51,101,104,46
683,1,164,63,23424,37,74,96,33
684,1,157,45,18256,30,65,86,35
685,1,160,45,17578,32,62,93,33
686,1,152,56,24238,33,70,97,33
687,1,159,70,27689,49,89,104,36
688,0,170,80,27682,38,91,108,40
689,0,173,69,23055,50,84,101,38
690,0,172,80,27042,42,95,103,42
691,0,180,82,25309,51,98,106,41
692,0,167,85,30478,60,100,107,44
693,1,163,54,20324,35,65,97,32
694,1,160,70,27344,47,85,106,36
695,1,164,68,25283,55,84,106,36
696,0,183,94,28069,26,109,105,43
697,1,160,51,19922,27,66,93,34
698,1,170,70,24221,30,76,106,36
699,1,162,75,28578,47,94,104,40
700,1,170,57,19723,33,66,95,33
701,1,172,76,25690,38,76,106,38
702,0,180,67,20679,43,78,96,36
703,1,168,56,19841,48,70,93,34
704,1,164,76,28257,47,80,106,36
705,0,192,86,23329,38,92,103,40
706,0,184,140,41352,28,138,120,46
707,1,160,69,26953,25,81,105,35
708,1,170,71,24567,54,96,103,37
709,0,190,135,37396,37,124,127,45
710,1,169,64,22408,25,74,101,37
711,1,170,64,22145,40,76,94,33
712,1,160,89,34766,37,108,120,41
713,1,160,54,21094,34,78,89,33
714,1,173,64,21384,34,73,97,35
715,1,170,66,22837,41,81,103,37
716,1,168,64,22676,44,76,101,35
717,1,163,60,22583,31,76,96,34
718,1,172,68,22985,32,74,105,35
719,1,164,54,20077,40,72,87,32
720,1,170,55,19031,32,73,93,34
721,1,153,47,20078,28,60,90,35
722,1,171,61,20861,40,77,94,37
723,1,165,75,27548,46,87,107,32
724,1,178,69,21778,33,81,103,34
725,0,0,0,0,35,0,0,0
726,1,158,75,30043,44,94,110,38
727,1,158,60,24035,57,84,98,36
728,0,190,90,24931,39,92,103,42
729,1,164,63,23424,63,75,102,35
730,0,173,90,30071,48,105,110,42
731,0,172,60,20281,53,76,95,36
732,0,170,74,25606,61,94,98,40
733,1,158,56,22432,38,86,97,37
734,1,163,63,23712,40,79,100,35
735,0,176,61,19693,36,79,83,38
736,0,176,78,25181,29,85,102,40
737,0,176,67,21630,51,85,98,40
